frame,x,y
0,95.70935,201.01486
0,325.12665,385.24448
0,320.02917,131.94675
0,326.45996,310.69122
0,399.41968,116.550385
0,61.860626,113.69733
1,95.6613,200.93707
1,319.92078,132.22298
1,325.08694,385.18347
1,326.50266,310.79132
1,399.45892,116.55256
1,62.053856,113.15025
2,95.66762,200.96243
2,319.86417,132.18436
2,325.08606,385.17145
2,326.47485,310.78354
2,399.3892,116.533005
2,62.15966,113.05315
3,319.87195,132.31558
3,95.69534,201.01556
3,325.12085,385.2435
3,326.45447,310.78622
3,399.43753,116.55792
3,62.184624,112.883896
4,319.85077,132.2122
4,95.77921,200.99782
4,325.08136,385.21967
4,326.48322,310.76538
4,399.55423,116.55561
4,62.19756,112.2365
5,319.6816,132.39188
5,95.82828,201.13124
5,399.20062,116.6492
5,325.0512,385.01202
5,62.17579,111.86128
5,326.57446,310.8147
6,319.70312,132.47667
6,399.29816,116.65052
6,95.94386,201.16313
6,325.0186,385.004
6,326.5359,310.83942
6,62.167217,111.56653
7,319.633,132.62343
7,399.3068,116.78257
7,95.97262,201.11163
7,324.9613,385.00485
7,326.54062,310.82068
7,61.847126,110.991745
8,319.6216,132.65657
8,399.35016,116.79223
8,96.053375,201.07047
8,324.98236,385.01797
8,326.51117,310.77808
8,61.776184,110.66114
9,319.6137,132.67264
9,399.1391,116.68361
9,325.05945,385.15677
9,96.33978,200.91736
9,326.39044,310.86957
9,61.700302,110.63376
10,319.5343,132.67706
10,399.00217,116.73317
10,324.99933,385.18524
10,96.39415,200.90802
10,326.39633,310.90283
10,61.70237,110.55116
11,319.48978,132.77087
11,398.84167,116.56781
11,324.9945,385.16315
11,326.39572,310.93637
11,96.601395,200.90086
11,62.3506,109.78241
12,319.5088,132.8331
12,398.86407,116.51643
12,324.9743,385.1895
12,326.39526,310.96338
12,96.66524,200.90526
12,62.33967,109.72183
13,319.70398,132.95529
13,324.9163,385.2198
13,398.31635,116.42061
13,326.59735,310.94073
13,96.89241,200.78076
