frame,x,y,particle
0,323.84128,385.93393,0
0,323.0475,310.54773,1
0,60.467155,115.64862,2
0,317.98328,130.26245,3
1,324.42328,385.6941,0
1,60.45972,113.28174,2
1,324.5195,310.6339,1
1,318.09756,130.17099,3
2,324.42462,385.79556,0
2,60.588108,113.52885,2
2,324.8524,310.79742,1
2,318.2567,130.21106,3
3,324.45316,385.64453,0
3,325.38354,310.8951,1
3,60.552387,113.43178,2
3,318.5307,130.41371,3
4,324.26953,385.4779,0
4,325.23746,310.9417,1
4,318.59332,130.6807,3
5,323.35074,385.0814,0
5,324.35498,310.8074,1
5,318.39917,130.69801,3
5,506.18652,87.94565,4
5,60.206467,111.95294,2
6,323.31592,385.074,0
6,318.3341,130.99078,3
6,324.40808,310.68323,1
6,506.15384,87.86699,4
6,60.01326,112.5775,2
7,322.97375,385.38324,0
7,318.29816,131.04128,3
7,324.45642,310.5841,1
7,506.14893,87.90376,4
7,58.53433,112.07544,2
8,323.45618,385.00742,0
8,318.25723,130.99304,3
8,323.59897,310.8873,1
8,506.12866,87.800964,4
9,324.2868,385.5635,0
9,318.34625,130.91504,3
9,505.80536,89.18236,4
9,323.46326,311.0393,1
9,58.384857,112.382416,2
10,318.3393,130.91872,3
10,323.80478,385.8296,0
10,323.4971,311.0559,1
11,323.52307,385.08514,0
11,323.57285,311.15985,1
11,505.67285,89.110275,4
11,317.713,130.31987,3
12,323.10474,385.52966,0
12,318.51672,130.94623,3
12,323.97626,311.69666,1
12,60.4927,111.17846,2
13,323.06046,385.57684,0
13,318.69586,130.85086,3
13,323.602,311.74496,1
13,59.819878,111.39659,2
14,323.07025,385.57617,0
14,318.68787,130.87743,3
14,324.46686,311.63452,1
14,59.806305,111.605576,2
15,323.07138,385.51782,0
15,318.59836,130.66696,3
15,324.2307,311.4109,1
15,503.24445,88.010254,4
16,323.15723,385.73267,0
16,318.4298,130.6225,3
16,323.61102,311.51434,1
16,504.40726,86.69784,4
17,323.08014,385.61163,0
17,318.52585,130.75143,3
17,326.1048,310.88684,1
17,504.46277,86.75397,4
18,323.0751,385.39502,0
18,318.55164,130.84567,3
18,326.20947,310.95135,1
19,323.07123,385.34448,0
19,318.42346,130.75975,3
19,326.19604,311.10425,1
19,502.90533,86.29668,4
20,323.08618,385.36383,0
20,318.58618,130.69356,3
20,326.31924,311.15344,1
20,502.84796,86.28783,4
21,322.67978,385.62198,0
21,318.73322,130.61299,3
21,326.12033,311.02515,1
21,502.8385,86.19356,4
22,322.6405,385.45108,0
22,318.73584,130.62134,3
22,325.9546,311.22278,1
23,322.6738,385.36514,0
23,318.78516,130.63625,3
23,327.04648,311.1392,1
23,62.111496,107.10156,2
24,322.531,384.96002,0
24,319.002,130.93513,3
24,326.95728,311.08252,1
24,62.151802,107.53298,2
25,322.53198,384.96613,0
25,318.95917,130.93585,3
25,326.94586,311.04688,1
25,61.989162,107.69218,2
25,417.08978,93.38445,7
26,322.5343,384.96497,0
26,318.75262,130.91699,3
26,327.54517,310.83807,1
26,63.073887,108.364975,2
26,433.7268,93.87144,7
26,173.37476,78.42656,8
27,322.57892,384.9817,0
27,318.6922,131.46304,3
27,329.1333,310.86426,1
27,62.5223,107.79979,2
27,434.00598,94.85132,7
28,322.61334,385.24896,0
28,318.76483,131.19812,3
28,329.37872,310.35934,1
28,433.7824,94.987305,7
28,63.417976,107.43396,2
29,322.71732,385.2597,0
29,318.76578,131.32376,3
29,329.6725,311.05188,1
29,497.8884,89.72806,4
29,63.483208,106.24164,2
30,322.60138,385.23642,0
30,318.73193,131.21396,3
30,329.64636,311.068,1
30,430.95105,95.655014,7
30,64.2142,106.32774,2
30,496.9253,89.96771,4
31,322.6784,385.2522,0
31,175.97684,78.61754,8
31,318.78113,131.24203,3
31,330.33035,310.5481,1
31,63.63417,106.347046,2
31,430.92642,95.99002,7
31,496.9073,90.051186,4
32,322.69452,385.06592,0
32,175.94022,78.59904,8
32,329.6413,310.76666,1
32,318.765,131.26562,3
32,63.898525,106.21333,2
33,322.95197,385.20087,0
33,330.11118,311.1139,1
33,318.74487,131.26993,3
33,495.56357,92.96074,4
33,63.8534,106.60924,2
33,175.26456,77.96977,8
34,322.9218,384.94513,0
34,330.20947,311.261,1
34,318.6181,131.43805,3
34,60.942078,107.93623,2
34,427.89056,107.7724,7
34,496.23187,91.664444,4
35,323.00006,385.27386,0
35,330.50793,311.10773,1
35,318.60867,131.43063,3
35,61.435314,107.684326,2
35,427.8676,107.73764,7
36,330.55316,310.94415,1
36,322.87308,385.03772,0
36,318.71594,131.76935,3
36,63.742096,103.64661,2
36,427.8109,108.0358,7
36,496.44006,91.71279,4
37,330.45798,311.10315,1
37,322.77597,385.00708,0
37,318.71228,131.78665,3
37,176.04291,77.83003,8
37,63.652145,103.36925,2
37,496.4593,91.69369,4
38,330.56482,311.1005,1
38,322.8348,385.0185,0
38,318.74548,131.91005,3
38,62.468502,104.28651,2
39,330.80115,310.83267,1
39,322.9138,385.09613,0
39,318.7681,131.90788,3
39,176.63818,76.53727,8
40,330.7439,310.93567,1
40,322.89786,385.05664,0
40,318.78635,131.82397,3
40,177.17842,76.52971,8
41,330.65665,310.80768,1
41,322.95367,385.08276,0
41,318.77753,131.88007,3
41,177.20639,76.59657,8
41,428.07373,105.10253,7
42,330.6609,310.89514,1
42,323.0254,385.13333,0
42,318.7871,131.87518,3
42,177.29008,75.293564,8
42,428.0728,105.11312,7
43,323.0896,385.2697,0
43,330.69434,311.11188,1
