frame,x,y,radius
0,96.53999999999999,201.65,13.470000000000006
0,62.84,113.92,14.060000000000002
0,328.875,311.54499999999996,16.345000000000027
0,326.21000000000004,386.03,15.200000000000017
0,318.99,132.92,14.819999999999993
0,401.08000000000004,116.19999999999999,16.340000000000003
1,96.0,201.0,13.0
1,62.0,111.0,14.0
1,330.28,311.31,16.0
1,325.0,385.0,15.0
1,319.5,132.5,14.5
1,400.97,115.84,16.0
2,96.0,201.0,13.0
2,62.0,111.0,14.0
2,327.0,310.0,16.0
2,325.0,384.0,15.0
2,319.5,131.5,14.5
2,399.0,116.5,16.0
3,96.0,201.0,13.0
3,62.0,111.0,14.0
3,327.0,310.0,16.0
3,325.0,385.0,15.0
3,319.5,131.5,14.5
3,399.0,116.5,16.0
4,96.0,201.0,13.0
4,62.0,111.0,14.0
4,327.0,310.0,16.0
4,325.0,384.0,15.0
4,319.5,131.5,14.5
4,399.0,116.5,16.0
5,96.0,201.0,13.0
5,62.0,111.0,14.0
5,327.0,310.0,16.0
5,325.0,385.0,15.0
5,319.5,132.5,14.5
5,399.0,116.5,16.0
6,97.0,201.0,13.0
6,62.0,111.0,14.0
6,326.0,310.0,16.0
6,326.0,384.0,15.0
6,319.5,132.5,14.5
6,399.0,116.5,16.0
7,96.0,201.0,13.0
7,62.0,111.0,14.0
7,326.0,310.0,16.0
7,325.0,384.0,15.0
7,319.5,132.5,14.5
7,399.0,116.5,16.0
8,96.0,201.0,13.0
8,62.0,110.0,14.0
8,327.0,311.0,16.0
8,325.0,384.0,15.0
8,319.5,132.5,14.5
8,399.0,116.5,16.0
9,97.0,201.0,13.0
9,62.0,110.0,14.0
9,327.0,310.0,16.0
9,324.0,385.0,15.0
9,319.5,132.5,14.5
9,398.0,116.5,16.0
10,97.0,201.0,13.0
10,62.0,110.0,14.0
10,327.0,311.0,16.0
10,325.0,384.0,15.0
10,318.5,132.5,14.5
10,398.0,116.5,16.0
11,97.0,201.0,13.0
11,62.0,110.0,14.0
11,327.0,310.0,16.0
11,325.0,385.0,15.0
11,319.5,132.5,14.5
11,397.0,115.5,16.0
12,97.0,201.0,13.0
12,62.0,110.0,14.0
12,326.0,311.0,16.0
12,325.0,385.0,15.0
12,319.5,132.5,14.5
12,397.0,116.5,16.0
13,98.97,201.66,13.0
13,65.6,108.72,13.999999999999996
13,330.28,311.0,16.0
13,325.0,384.0,15.0
13,319.5,132.5,14.5
13,398.0,116.5,16.0
14,97.0,201.0,13.0
14,62.0,109.0,14.0
14,327.0,311.0,16.0
14,325.0,384.0,15.0
14,319.5,132.5,14.5
14,397.0,116.5,16.0
15,97.0,201.0,13.0
15,62.0,110.0,14.0
15,327.0,311.0,16.0
15,325.0,384.0,15.0
15,319.5,132.5,14.5
15,397.0,115.5,16.0
